# Disciplinas equivalentes — a origem do "Crédito Consignado"
# do histórico (mudança de matriz). GERADO por parse_matriz_html.py.
codigo,equivalente,cht,grupo
ARC102,AC31L,60,
IES104,IS31L,45,
MAT029,MD32L,45,
FSO204,SO32L,30,
HCH022,FE32L,60,
LIP201,AL32L,60,1
LIP201,LP32L,45,1
MAT034,GA31E,90,
MAT034,GA31Q,90,
MAT034,GA32I,90,
MAT034,MAT002,90,
MAT034,MAT020,60,
RED202,RC33L,60,
REQ203,AS34L,60,
BDD301,BD34L,60,
HSA003,ADM008,45,
MOS302,AS34L,60,
POO303,PO35L,60,
CVM401,ES33L,60,
EDD404,ED33L,60,
IHC403,IS35L,60,
EST003,EST001,60,
EST003,PB32Q,60,
EST003,PE34A,60,
EST003,PE35AM,60,
EST003,PE35E,60,
EST003,PE35L,60,
WBE501,DS36L,60,
API005,DI3L,30,1
API005,DM37L,30,1
ART007,ART005,45,
ART007,HUM010,45,
EDU015,HT3E,30,
EDU015,HT3L,30,
EDU015,HT3Q,30,
EDU015,HUM007,30,
EDU017,HC3E,30,
EDU017,HC3Q,30,
EDU017,HI3L,30,
EDU017,HUM009,30,
FIS018,FIS004,30,
FIS018,FIS009,60,
FIS018,PE36AM,60,
FIS018,PE38E,60,
FIS018,PRE38AM,60,
FIS018,TE35A,30,
HCH005,ET31L,45,
HCH006,HE34L,45,
HCH008,PL35L,30,
HCH009,HUM004,30,
HCH009,SP3E,30,
HCH009,SP3L,30,
HCH009,SP3Q,30,
HCH010,HUM006,30,
HCH010,TSO3AM,30,
HCH010,TS3E,30,
HCH010,TS3L,30,
HCH018,ED38L,60,
HCH018,EJ38L,30,
HCH018,IP38L,30,
HLA015,ART001,30,
HLA015,HUM014,30,
HLA017,HUM013,30,
HLA017,LC3Q,30,
HLA017,LET009,30,
HSA007,ADM013,45,
HSA008,GC3L,30,
IED001,IE33L,75,
IED002,TE38L,30,
LET006,HUM001,30,
LET006,LI13E,30,
LET006,LI13Q,30,
LET006,LI35L,30,
LET007,HUM002,30,
LET007,LB3L,30,
LET007,LI23E,30,
LET007,LI23Q,30,
LET008,HUM012,30,
LET017,HUM011,30,
LET017,II31L,30,
MAT015,CD31E,90,
MAT015,CD31Q,90,
MAT015,CD34L,75,
MAT015,MAT001,90,
MAT016,CDI32AM,60,
MAT016,CD32E,60,
MAT016,CD32Q,60,
MAT016,MAT003,60,
MAT021,EF3L,30,
NEO004,ML3L,30,1
NEO004,MU36L,30,1
HLA016,CL31L,30,
SDU601,AD37L,60,
HSA001,EE3L,30,
INC702,IA37L,60,
ENADECE,ENADEC,0,
ENADEIE,ENADEI,0,
HSA004,ADM009,45,
