# Matriz 45 - Sistemas De Informação 02 · UTFPR · Câmpus Francisco Beltrão
# GERADO por parse_matriz_html.py a partir do HTML da tela do portal.
# NÃO edite à mão: rode o script de novo quando a matriz mudar.
#
# prereq: códigos separados por "+" (todos exigidos) · "PERIODO:N" para período mínimo
periodo,grupo,codigo,nome,modelo,chs,cht,chext,prereq
1,,ARC102,Arquitetura de Computadores,FORMAÇÃO BÁSICA E CIENTÍFICA,4,60,0,
1,,FSI101,Fundamentos de Sistemas de Informação,FORMAÇÃO BÁSICA E CIENTÍFICA,4,60,0,
1,,HCH021,"Trabalho, tecnologia e sociedade",HUMANIDADES - NOVA,4,60,0,
1,,IES104,Informática e Sociedade,FORMAÇÃO BÁSICA E CIENTÍFICA,4,60,0,
1,,MAT029,Elementos de Matemática Discreta para Computação,FORMAÇÃO BÁSICA E CIENTÍFICA,4,60,0,
2,,FSO204,Fundamentos de Sistemas Operacionais,FORMAÇÃO BÁSICA E CIENTÍFICA,2,30,0,
2,,HCH022,Filosofia e tecnologia,HUMANIDADES - NOVA,2,30,0,
2,,LIP201,Linguagem de Programação,FORMAÇÃO BÁSICA E CIENTÍFICA,6,90,0,
2,,MAT034,Fundamentos de Álgebra Linear para Computação,FORMAÇÃO BÁSICA E CIENTÍFICA,4,60,0,
2,,RED202,Redes de Computadores,FORMAÇÃO BÁSICA E CIENTÍFICA,4,60,0,
2,,REQ203,Engenharia de Requisitos,FORMAÇÃO BÁSICA E CIENTÍFICA,2,30,0,
3,,BDD301,Banco de Dados,FORMAÇÃO PROFISSIONAL,4,60,0,MAT029
3,,HSA003,Gestão Econômica e Financeira,FORMAÇÃO BÁSICA E CIENTÍFICA,3,45,45,
3,,HSA005,Empreendedorismo,FORMAÇÃO PROFISSIONAL,3,45,45,
3,,MOS302,Modelagem de Software,FORMAÇÃO BÁSICA E CIENTÍFICA,2,30,0,REQ203
3,,PEX304,Práticas Extensionistas 1,FORMAÇÃO PROFISSIONAL,2,30,30,
3,,POO303,Programação Orientada a Objetos,FORMAÇÃO BÁSICA E CIENTÍFICA,6,90,0,LIP201
4,,CVM401,"Construção, Validação e Manutenção de Software",FORMAÇÃO BÁSICA E CIENTÍFICA,4,60,0,MOS302
4,,EDD404,Estrutura de Dados,FORMAÇÃO PROFISSIONAL,4,60,0,LIP201
4,,IHC403,Interação Humano-Computador,FORMAÇÃO PROFISSIONAL,4,60,0,
4,,PEX405,Práticas Extensionistas 2,FORMAÇÃO PROFISSIONAL,4,60,60,PEX304
4,,WFE402,Desenvolvimento Web Front-End,FORMAÇÃO PROFISSIONAL,4,60,0,
5,,ARS502,Arquitetura de Software,FORMAÇÃO PROFISSIONAL,2,30,0,CVM401
5,,EST003,Probabilidade e Estatística,FORMAÇÃO BÁSICA E CIENTÍFICA,4,60,0,
5,,EST501,Estágio Curricular Obrigatório,ESTÁGIO,0,450,0,PERIODO:5
5,,HLA001,"Linguagem, Tecnologia e Sujeito",HUMANIDADES - NOVA,4,60,0,
5,,PIN503,Projeto Integrador CT&I 1,FORMAÇÃO PROFISSIONAL,2,30,0,
5,,WBE501,Desenvolvimento Web Back-End,FORMAÇÃO PROFISSIONAL,4,60,0,POO303+WFE402
5,941,ADM019,Gestão de projetos,HUMANIDADES - NOVA,3,45,0,
5,941,ADM020,Inovação sociotécnica,HUMANIDADES - NOVA,3,45,0,
5,941,API001,Automação Em Agricultura De Precisão,FORMAÇÃO PROFISSIONAL,4,60,0,
5,941,API002,Novas Tecnologias Em Sistemas De Informação,FORMAÇÃO PROFISSIONAL,4,60,0,
5,941,API003,Internet Das Coisas,FORMAÇÃO PROFISSIONAL,2,30,0,LIP201+RED202
5,941,API004,Padrões De Projeto,FORMAÇÃO PROFISSIONAL,2,30,0,ARS502
5,941,API005,DISPOSITIVOS MÓVEIS,FORMAÇÃO PROFISSIONAL,4,60,0,POO303
5,941,API006,Computação Sustentável,FORMAÇÃO PROFISSIONAL,2,30,0,
5,941,API007,Computação Quântica,FORMAÇÃO BÁSICA E CIENTÍFICA,2,30,0,
5,941,API008,Operação de aeronaves remotamente pilotadas,FORMAÇÃO BÁSICA E CIENTÍFICA,2,30,0,
5,941,ART004,Prática de Orquestra,HUMANIDADES - NOVA,3,45,45,
5,941,ART007,Canto Coral,HUMANIDADES - NOVA,3,45,45,
5,941,EDU014,Educação científica e tecnológica,HUMANIDADES - NOVA,3,45,0,
5,941,EDU015,História da técnica e da tecnologia,HUMANIDADES - NOVA,3,45,0,
5,941,EDU016,História do Paraná e do Sudoeste Paranaense,HUMANIDADES - NOVA,3,45,0,
5,941,EDU017,História e Cultura Afro-brasileira e Indígena,HUMANIDADES - NOVA,3,45,0,
5,941,FIS018,Eletrotécnica e Instrumentação,FORMAÇÃO PROFISSIONAL,4,60,0,
5,941,GAM001,Gamificação,FORMAÇÃO PROFISSIONAL,2,30,0,
5,941,GAM002,Game Design,FORMAÇÃO PROFISSIONAL,4,60,0,
5,941,GAM003,Game Engines,FORMAÇÃO PROFISSIONAL,2,30,0,
5,941,GAM004,Diversidade e Narrativas Audiovisuais,FORMAÇÃO PROFISSIONAL,2,30,60,
5,941,GES001,Gestão De Tecnologia Da Informação,FORMAÇÃO PROFISSIONAL,4,60,0,
5,941,HCH004,"Ciência, tecnologia e gênero",HUMANIDADES - NOVA,3,45,0,
5,941,HCH005,"Educação, trabalho e sociedade",HUMANIDADES - NOVA,3,45,0,
5,941,HCH006,História da educação,HUMANIDADES - NOVA,3,45,0,
5,941,HCH007,Introdução à comunidade política,HUMANIDADES - NOVA,3,45,0,
5,941,HCH008,Políticas educacionais,HUMANIDADES - NOVA,3,45,0,
5,941,HCH009,Sociedade e Política no Brasil,HUMANIDADES - NOVA,3,45,0,
5,941,HCH010,Tecnologia e Sociedade,HUMANIDADES - NOVA,3,45,0,
5,941,HCH012,Tecnossistema e Tecnopolíticas,HUMANIDADES - NOVA,3,45,0,
5,941,HCH013,Psicologia Social,HUMANIDADES - NOVA,3,45,0,
5,941,HCH014,Filosofia da ciência,HUMANIDADES - NOVA,3,45,0,
5,941,HCH015,Antropologia da técnica e da tecnologia,HUMANIDADES - NOVA,3,45,0,
5,941,HCH017,Tópicos especiais em Ciências Humanas,HUMANIDADES - NOVA,3,45,0,
5,941,HCH018,Tópicos especiais em Educação,HUMANIDADES - NOVA,3,45,0,
5,941,HLA002,Literatura e formação do sujeito,HUMANIDADES - NOVA,3,45,0,
5,941,HLA003,Representações da tecnologia na literatura,HUMANIDADES - NOVA,3,45,0,
5,941,HLA004,Língua Inglesa I,HUMANIDADES - NOVA,4,60,0,
5,941,HLA005,Língua Inglesa II,HUMANIDADES - NOVA,4,60,0,HLA004
5,941,HLA006,Língua Inglesa III,HUMANIDADES - NOVA,4,60,0,HLA005
5,941,HLA007,Língua Inglesa IV,HUMANIDADES - NOVA,4,60,0,HLA006
5,941,HLA008,Língua Inglesa V,HUMANIDADES - NOVA,4,60,0,HLA007
5,941,HLA009,Língua Inglesa VI,HUMANIDADES - NOVA,4,60,0,HLA008
5,941,HLA011,Técnica vocal avançada,HUMANIDADES - NOVA,2,30,0,
5,941,HLA012,Música instrumental,HUMANIDADES - NOVA,2,30,30,
5,941,HLA013,Instrumento musical - Violino 1,HUMANIDADES - NOVA,4,60,0,
5,941,HLA014,Instrumento musical - Violino 2,HUMANIDADES - NOVA,2,30,0,
5,941,HLA015,Técnica Vocal - Canto,HUMANIDADES - NOVA,2,30,30,
5,941,HLA017,"Linguagem, Cultura e Sociedade",HUMANIDADES - NOVA,2,30,0,
5,941,HLA018,"Linguagem, Ideologia e Subjetividade",HUMANIDADES - NOVA,2,30,0,
5,941,HLA023,Instrumento Musical – Violino III,HUMANIDADES - NOVA,2,30,0,
5,941,HSA002,Gestão da qualidade,HUMANIDADES - NOVA,3,45,0,
5,941,HSA006,Inovação Sustentável,HUMANIDADES - NOVA,4,60,0,
5,941,HSA007,Administração de Marketing,HUMANIDADES - NOVA,4,60,0,
5,941,HSA008,Gestão do conhecimento,HUMANIDADES - NOVA,3,45,0,
5,941,HSA009,Comportamento organizacional,HUMANIDADES - NOVA,3,45,0,
5,941,HSA010,Gestão e estratégias de inovação e tecnologia,HUMANIDADES - NOVA,3,45,0,
5,941,IED001,Informática na Educação,FORMAÇÃO PROFISSIONAL,4,60,60,
5,941,IED002,Tecnologias Da Educação,FORMAÇÃO PROFISSIONAL,2,30,0,
5,941,IED003,Objetos de Aprendizagens Digitais,FORMAÇÃO PROFISSIONAL,4,60,0,
5,941,LET006,Libras 1,FORMAÇÃO BÁSICA E CIENTÍFICA,2,30,0,
5,941,LET007,Libras 2,FORMAÇÃO BÁSICA E CIENTÍFICA,2,30,0,
5,941,LET008,Leitura e Produção Textual,FORMAÇÃO BÁSICA E CIENTÍFICA,2,30,0,
5,941,LET017,Inglês para fins acadêmicos,HUMANIDADES - NOVA,2,30,0,
